Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
    35.775         -2.02504712       -2.02504712        3.2059e-12
    35.790         -2.03484633       -2.03484633        3.2410e-12
    35.805         -2.04458965       -2.04458965        3.2752e-12
    35.820         -2.05427545       -2.05427545        3.3085e-12
    35.835         -2.06390211       -2.06390211        3.3409e-12
    35.850         -2.07346803       -2.07346803        3.3729e-12
    35.865         -2.08297167       -2.08297167        3.4039e-12
    35.880         -2.09241151       -2.09241151        3.4341e-12
    35.895         -2.10178607       -2.10178607        3.4635e-12
    35.910         -2.11109389       -2.11109389        3.4919e-12
    35.925         -2.12033358       -2.12033358        3.5190e-12
    35.940         -2.12950373       -2.12950373        3.5456e-12
    35.955         -2.13860302       -2.13860302        3.5714e-12
    35.970         -2.14763013       -2.14763013        3.5962e-12
    35.985         -2.15658378       -2.15658378        3.6202e-12
    36.000         -2.16546274       -2.16546274        3.6433e-12
    36.015         -2.17426580       -2.17426580        3.6655e-12
    36.030         -2.18299180       -2.18299180        3.6873e-12
    36.045         -2.19163961       -2.19163961        3.7081e-12
    36.060         -2.20020812       -2.20020812        3.7281e-12
    36.075         -2.20869628       -2.20869628        3.7477e-12
    36.090         -2.21710306       -2.21710306        3.7659e-12
    36.105         -2.22542749       -2.22542749        3.7836e-12
    36.120         -2.23366860       -2.23366860        3.8005e-12
    36.135         -2.24182548       -2.24182548        3.8165e-12
    36.150         -2.24989726       -2.24989726        3.8320e-12
    36.165         -2.25788309       -2.25788309        3.8463e-12
    36.180         -2.26578217       -2.26578217        3.8600e-12
    36.195         -2.27359373       -2.27359373        3.8729e-12
    36.210         -2.28131704       -2.28131704        3.8849e-12
    36.225         -2.28895139       -2.28895139        3.8964e-12
    36.240         -2.29649614       -2.29649614        3.9071e-12
    36.255         -2.30395066       -2.30395066        3.9169e-12
    36.270         -2.31131436       -2.31131436        3.9262e-12
    36.285         -2.31858668       -2.31858668        3.9346e-12
    36.300         -2.32576712       -2.32576712        3.9422e-12
    36.315         -2.33285520       -2.33285520        3.9488e-12
    36.330         -2.33985047       -2.33985047        3.9551e-12
    36.345         -2.34675252       -2.34675252        3.9604e-12
    36.360         -2.35356098       -2.35356098        3.9648e-12
    36.375         -2.36027552       -2.36027552        3.9688e-12
    36.390         -2.36689583       -2.36689583        3.9719e-12
    36.405         -2.37342165       -2.37342165        3.9746e-12
    36.420         -2.37985275       -2.37985275        3.9759e-12
    36.435         -2.38618892       -2.38618892        3.9768e-12
    36.450         -2.39243001       -2.39243001        3.9768e-12
    36.465         -2.39857589       -2.39857589        3.9759e-12
    36.480         -2.40462646       -2.40462646        3.9746e-12
    36.495         -2.41058166       -2.41058166        3.9724e-12
    36.510         -2.41644146       -2.41644146        3.9693e-12
    36.525         -2.42220587       -2.42220587        3.9657e-12
    36.540         -2.42787494       -2.42787494        3.9613e-12
    36.555         -2.43344872       -2.43344872        3.9564e-12
    36.570         -2.43892733       -2.43892733        3.9506e-12
    36.585         -2.44431090       -2.44431090        3.9440e-12
    36.600         -2.44959959       -2.44959959        3.9364e-12
    36.615         -2.45479362       -2.45479362        3.9280e-12
    36.630         -2.45989320       -2.45989320        3.9191e-12
    36.645         -2.46489860       -2.46489860        3.9098e-12
    36.660         -2.46981010       -2.46981010        3.8991e-12
    36.675         -2.47462804       -2.47462804        3.8880e-12
    36.690         -2.47935276       -2.47935276        3.8760e-12
    36.705         -2.48398464       -2.48398464        3.8631e-12
    36.720         -2.48852410       -2.48852410        3.8494e-12
    36.735         -2.49297156       -2.49297156        3.8347e-12
    36.750         -2.49732749       -2.49732749        3.8196e-12
    36.765         -2.50159240       -2.50159240        3.8041e-12
    36.780         -2.50576679       -2.50576679        3.7876e-12
    36.795         -2.50985122       -2.50985122        3.7703e-12
    36.810         -2.51384627       -2.51384627        3.7521e-12
    36.825         -2.51775252       -2.51775252        3.7335e-12
    36.840         -2.52157061       -2.52157061        3.7135e-12
    36.855         -2.52530118       -2.52530118        3.6930e-12
    36.870         -2.52894492       -2.52894492        3.6717e-12
    36.885         -2.53250252       -2.53250252        3.6495e-12
    36.900         -2.53597471       -2.53597471        3.6269e-12
    36.915         -2.53936223       -2.53936223        3.6033e-12
    36.930         -2.54266584       -2.54266584        3.5789e-12
    36.945         -2.54588635       -2.54588635        3.5536e-12
    36.960         -2.54902457       -2.54902457        3.5274e-12
    36.975         -2.55208132       -2.55208132        3.5003e-12
    36.990         -2.55505746       -2.55505746        3.4723e-12
    37.005         -2.55795388       -2.55795388        3.4439e-12
    37.020         -2.56077145       -2.56077145        3.4146e-12
    37.035         -2.56351110       -2.56351110        3.3844e-12
    37.050         -2.56617375       -2.56617375        3.3533e-12
    37.065         -2.56876037       -2.56876037        3.3213e-12
    37.080         -2.57127190       -2.57127190        3.2889e-12
    37.095         -2.57370935       -2.57370935        3.2556e-12
    37.110         -2.57607370       -2.57607370        3.2214e-12
    37.125         -2.57836598       -2.57836598        3.1868e-12
    37.140         -2.58058721       -2.58058721        3.1513e-12
    37.155         -2.58273844       -2.58273844        3.1144e-12
    37.170         -2.58482073       -2.58482073        3.0771e-12
    37.185         -2.58683515       -2.58683515        3.0389e-12
    37.200         -2.58878279       -2.58878279        2.9998e-12
    37.215         -2.59066475       -2.59066475        2.9599e-12
    37.230         -2.59248213       -2.59248213        2.9194e-12
    37.245         -2.59423606       -2.59423606        2.8781e-12
    37.260         -2.59592766       -2.59592766        2.8360e-12
    37.275         -2.59755807       -2.59755807        2.7933e-12
    37.290         -2.59912845       -2.59912845        2.7498e-12
    37.305         -2.60063994       -2.60063994        2.7049e-12
    37.320         -2.60209372       -2.60209372        2.6597e-12
    37.335         -2.60349096       -2.60349096        2.6139e-12
    37.350         -2.60483284       -2.60483284        2.5673e-12
    37.365         -2.60612054       -2.60612054        2.5198e-12
    37.380         -2.60735524       -2.60735524        2.4714e-12
    37.395         -2.60853815       -2.60853815        2.4221e-12
    37.410         -2.60967046       -2.60967046        2.3723e-12
    37.425         -2.61075338       -2.61075338        2.3217e-12
    37.440         -2.61178811       -2.61178811        2.2706e-12
    37.455         -2.61277584       -2.61277584        2.2187e-12
    37.470         -2.61371780       -2.61371780        2.1658e-12
    37.485         -2.61461519       -2.61461519        2.1121e-12
    37.500         -2.61546921       -2.61546921        2.0579e-12
    37.515         -2.61628108       -2.61628108        2.0028e-12
    37.530         -2.61705200       -2.61705200        1.9473e-12
    37.545         -2.61778317       -2.61778317        1.8914e-12
    37.560         -2.61847579       -2.61847579        1.8345e-12
    37.575         -2.61913107       -2.61913107        1.7768e-12
    37.590         -2.61975020       -2.61975020        1.7186e-12
    37.605         -2.62033436       -2.62033436        1.6600e-12
    37.620         -2.62088474       -2.62088474        1.6005e-12
    37.635         -2.62140253       -2.62140253        1.5405e-12
    37.650         -2.62188888       -2.62188888        1.4801e-12
    37.665         -2.62234497       -2.62234497        1.4189e-12
    37.680         -2.62277196       -2.62277196        1.3571e-12
    37.695         -2.62317099       -2.62317099        1.2945e-12
    37.710         -2.62354320       -2.62354320        1.2315e-12
    37.725         -2.62388973       -2.62388973        1.1680e-12
    37.740         -2.62421169       -2.62421169        1.1040e-12
    37.755         -2.62451019       -2.62451019        1.0396e-12
    37.770         -2.62478633       -2.62478633        9.7433e-13
    37.785         -2.62504120       -2.62504120        9.0861e-13
    37.800         -2.62527587       -2.62527587        8.4244e-13
    37.815         -2.62549141       -2.62549141        7.7582e-13
    37.830         -2.62568884       -2.62568884        7.0877e-13
    37.845         -2.62586922       -2.62586922        6.4126e-13
    37.860         -2.62603356       -2.62603356        5.7332e-13
    37.875         -2.62618285       -2.62618285        5.0493e-13
    37.890         -2.62631809       -2.62631809        4.3610e-13
    37.905         -2.62644024       -2.62644024        3.6726e-13
    37.920         -2.62655026       -2.62655026        2.9798e-13
    37.935         -2.62664908       -2.62664908        2.2826e-13
    37.950         -2.62673762       -2.62673762        1.5810e-13
    37.965         -2.62681678       -2.62681678        8.7486e-14
    37.980         -2.62688743       -2.62688743        1.6431e-14
    37.995         -2.62695045       -2.62695045       -5.4623e-14
    38.010         -2.62700666       -2.62700666       -1.2612e-13
    38.025         -2.62705689       -2.62705689       -1.9762e-13
    38.040         -2.62710193       -2.62710193       -2.6956e-13
    38.055         -2.62714257       -2.62714257       -3.4150e-13
    38.070         -2.62717957       -2.62717957       -4.1389e-13
    38.085         -2.62721364       -2.62721364       -4.8628e-13
    38.100         -2.62724551       -2.62724551       -5.5911e-13
    38.115         -2.62727587       -2.62727587       -6.3149e-13
    38.130         -2.62730538       -2.62730538       -7.0433e-13
    38.145         -2.62733469       -2.62733469       -7.7716e-13
    38.160         -2.62736440       -2.62736440       -8.5043e-13
    38.175         -2.62739512       -2.62739512       -9.2326e-13
    38.190         -2.62742741       -2.62742741       -9.9609e-13
    38.205         -2.62746183       -2.62746183       -1.0689e-12
    38.220         -2.62749888       -2.62749888       -1.1418e-12
    38.235         -2.62753906       -2.62753906       -1.2146e-12
    38.250         -2.62758284       -2.62758284       -1.2874e-12
    38.265         -2.62763067       -2.62763067       -1.3602e-12
    38.280         -2.62768296       -2.62768296       -1.4331e-12
